Date,Open,High,Low,Close,Adj Close,Volume
2013-03-25,4.510993,4.548901,4.382108,4.435178,4.435178,452000
2013-03-26,4.480667,4.639879,4.473086,4.609553,4.609553,631400
2013-03-27,4.594390,4.662623,4.374526,4.374526,4.374526,219200
2013-03-28,4.389689,4.435178,4.268385,4.283548,4.283548,261200
2013-04-01,4.260804,4.321455,4.131918,4.260804,4.260804,278900
2013-04-02,4.306293,4.321455,4.245641,4.253222,4.253222,264500
2013-04-03,4.260804,4.313874,4.253222,4.275967,4.275967,187500
2013-04-04,4.268385,4.351782,4.207733,4.321455,4.321455,211900
2013-04-05,4.245641,4.283548,4.177407,4.238059,4.238059,152300
2013-04-08,4.260804,4.275967,4.177407,4.275967,4.275967,124100
2013-04-09,4.313874,4.389689,4.207733,4.245641,4.245641,151800
2013-04-10,3.972707,3.972707,3.601213,3.669446,3.669446,1161600
2013-04-11,3.654284,3.707354,3.654284,3.669446,3.669446,147300
2013-04-12,3.661865,3.699773,3.631539,3.692191,3.692191,128300
2013-04-15,3.707354,3.707354,3.472327,3.548142,3.548142,237200
2013-04-16,3.570887,3.646702,3.525398,3.616376,3.616376,167300
2013-04-17,3.578469,3.593632,3.388931,3.449583,3.449583,142900
2013-04-18,3.449583,3.555724,3.442002,3.540561,3.540561,194200
2013-04-19,3.548142,3.548142,3.457165,3.525398,3.525398,72900
2013-04-22,3.510235,3.601213,3.426838,3.570887,3.570887,101400
2013-04-23,3.601213,3.601213,3.472327,3.517817,3.517817,129100
2013-04-24,3.502654,3.646702,3.495072,3.639121,3.639121,101500
2013-04-25,3.639121,3.646702,3.540561,3.563306,3.563306,67200
2013-04-26,3.563306,3.616376,3.548142,3.578469,3.578469,77400
2013-04-29,3.616376,3.677028,3.578469,3.601213,3.601213,90600
2013-04-30,3.639121,3.919636,3.639121,3.881729,3.881729,395300
2013-05-01,3.881729,3.881729,3.639121,3.677028,3.677028,307300
2013-05-02,3.881729,3.881729,3.707354,3.805914,3.805914,527900
2013-05-03,3.843821,3.881729,3.828658,3.858984,3.858984,367700
2013-05-06,3.843821,4.003033,3.836240,3.965125,3.965125,345400
2013-05-07,3.980288,4.131918,3.942381,4.116755,4.116755,278800
2013-05-08,4.078847,4.101592,4.056103,4.071266,4.071266,135700
2013-05-09,3.942381,4.063684,3.927217,4.018196,4.018196,162800
2013-05-10,4.033359,4.086429,3.965125,4.010614,4.010614,147500
2013-05-13,3.980288,4.086429,3.980288,4.010614,4.010614,76200
2013-05-14,3.995451,4.056103,3.987870,4.018196,4.018196,98000
2013-05-15,3.980288,3.987870,3.934799,3.980288,3.980288,148100
2013-05-16,3.972707,3.987870,3.866565,3.965125,3.965125,78300
2013-05-17,3.972707,3.972707,3.912055,3.942381,3.942381,92000
2013-05-20,3.934799,3.972707,3.904473,3.927217,3.927217,81300
2013-05-21,3.919636,3.927217,3.821077,3.866565,3.866565,98000
2013-05-22,3.874147,3.957544,3.813495,3.813495,3.813495,136900
2013-05-23,3.790751,3.949962,3.760425,3.912055,3.912055,119100
2013-05-24,3.896892,3.904473,3.858984,3.889310,3.889310,57600
2013-05-28,3.934799,3.980288,3.904473,3.972707,3.972707,89200
2013-05-29,3.934799,3.942381,3.858984,3.881729,3.881729,51500
2013-05-30,3.904473,3.987870,3.904473,3.980288,3.980288,180500
2013-05-31,3.942381,4.003033,3.851403,3.851403,3.851403,89100
2013-06-03,3.851403,3.889310,3.775588,3.805914,3.805914,273200
2013-06-04,3.790751,3.866565,3.783169,3.821077,3.821077,62600
2013-06-05,3.768006,3.821077,3.752843,3.768006,3.768006,191100
2013-06-06,3.783169,3.790751,3.699773,3.790751,3.790751,89400
2013-06-07,3.821077,3.821077,3.737680,3.805914,3.805914,81200
2013-06-10,3.798332,3.836240,3.768006,3.828658,3.828658,81900
2013-06-11,3.768006,3.828658,3.768006,3.798332,3.798332,35000
2013-06-12,3.828658,3.866565,3.760425,3.775588,3.775588,29400
2013-06-13,3.760425,3.783169,3.563306,3.768006,3.768006,98300
2013-06-14,3.760425,3.821077,3.677028,3.714936,3.714936,65500
2013-06-17,3.760425,3.821077,3.760425,3.775588,3.775588,60900
2013-06-18,3.790751,3.851403,3.722517,3.836240,3.836240,99400
2013-06-19,3.828658,3.836240,3.730098,3.730098,3.730098,36000
2013-06-20,3.661865,3.745262,3.631539,3.661865,3.661865,99000
2013-06-21,3.684610,3.760425,3.578469,3.722517,3.722517,254100
